Zusammenfassung der Stealth-Techniken
Technik	Beschreibung
AES-256/CBC	Befehle und Ergebnisse verschlüsselt
API Hashing	APIs werden zur Laufzeit per Hash resolviert
Anti-Debug	PEB, NtGlobalFlag, Timing, Hardware Breakpoints
Sleep Jitter	Unregelmäßige Schlafzeiten zur Erkennungsvermeidung
Junk Code	Nutzlose Operationen zur Code-Obfuscation
String Obfuscation	Strings sind XOR-verschlüsselt
Process Hollowing Ready	Vorbereitung für Code Injection
No Window	CREATE_NO_WINDOW + SW_HIDE
Patchless AMSI/ETW	Hardware Breakpoints statt Memory-Patches
Token Theft	System-Token für Privilege EscalationStealth Techniken (API-Hashing, String Obfuscation, Junk Code, Anti-Debug, Sleep Jitter, Process Hollowing Preparation)
